course,tee_time,price,players,lat,lon,book_url
Drumm Farm Golf Club - Executive,2025-05-04 09:24:00+00:00,28.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/9e55028d-47ee-4e7c-a32e-7d7a5cd5f675?rateId=da40da0d-626f-4e3e-b19c-e9056efb8b85&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 09:30:00+00:00,28.0,3,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/9a358d51-6832-47c1-8ba4-729fefc8d261?rateId=da40da0d-626f-4e3e-b19c-e9056efb8b85&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 09:36:00+00:00,28.0,2,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/37b348c8-425e-47c7-bfc8-fa2671c7bea0?rateId=da40da0d-626f-4e3e-b19c-e9056efb8b85&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 09:42:00+00:00,28.0,2,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/4228e751-e624-445a-8780-84ed4c545fcd?rateId=da40da0d-626f-4e3e-b19c-e9056efb8b85&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:00:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/53a341f7-a42a-4151-824e-9d9e0dec8067?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:06:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/969b2fb6-28e5-4928-8ba8-16404ebc7dca?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:12:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/b3f350cc-0044-4383-94f4-9611d8498394?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:18:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/4c54945b-6f56-43d1-8ffd-f024cdfad7a6?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:24:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/f0679130-4b41-44d3-8898-b1ec90556938?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:30:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/af01c994-a5ff-49ce-8773-3b2645cd5d58?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:36:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/4942a60c-1ec1-472c-a026-4bef3ebadb78?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:42:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/3fb04ab7-203e-49d5-bc2a-b6278849e7a9?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:48:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/67ee09f1-2bbb-4a08-adc4-acfbfed5793e?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 10:54:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/9d361473-f6b5-456a-b110-dcecbeee3b40?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:00:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/7c6dec7b-e9dd-41af-8ee9-36003e59549b?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:06:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/1d6316fa-dfde-45ba-8350-87bee85843a5?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:12:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/d7632cf4-09d1-4f11-bd3f-67d0866b2544?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:18:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/a3d640cf-10d4-4329-9271-697d1a5bc06d?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:24:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/ba71e9f1-5879-4723-9a54-790b8ac7c297?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:30:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/78a9e47a-89f3-47c6-915a-9f735f5a8156?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:36:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/f3bb0b17-131c-4b5a-8ba2-10169389769d?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:42:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/bc24bebf-1300-4dc2-be35-00d1040266fa?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:48:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/b815f9d7-6b81-4268-b044-74c5b2e4edf0?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 11:54:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/19e66207-435e-47d4-9978-c0672135cde4?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:00:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/7113f063-bc24-4e2c-9606-f9e04df58e04?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:06:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/5bae66b5-b4cd-43de-b8bd-b005bdd62461?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:12:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/72d096b4-6f3c-4aba-80f6-0f243bf7d50c?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:18:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/948888c8-422b-4271-a17c-0f710a45960f?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:24:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/cf3ec08f-c394-463b-b34d-cb75360879e3?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:30:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/482a446d-ec15-469c-a939-66043db0594d?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:36:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/37c83117-b051-4ebd-a7b5-14dd26c0d331?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:42:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/b2c7994e-6ef9-4bc1-b1ae-44c6e2e6b822?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:48:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/0b4a9f6b-d0f8-4919-97f2-565c12bc2252?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 12:54:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/40310fdc-30ed-4605-9ef0-eb8bcb7205bb?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:00:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/48aca603-fe99-4243-80c6-9a2abbce9a4c?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:06:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/ab5f376d-058a-4ef2-a85f-4be8fdd1474b?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:12:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/35fcd3d4-56ca-4a8b-93b5-6d25528cde9e?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:18:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/b2a1a1ca-2844-4b34-8694-70eaeccf87d7?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:24:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/8c745c8b-e908-43d2-9dff-99d27a84776c?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:30:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/8d8d9437-f642-4d8e-b34a-4a5eb4003c1c?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:36:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/f50acaa9-905f-49ea-be63-1d0471b8bea7?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:42:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/bee67aae-78be-4d48-8450-5b977a893581?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
Drumm Farm Golf Club - Executive,2025-05-04 13:48:00+00:00,16.0,4,39.0620829,-94.3981964,https://golfback.com/#/course/9a1de435-8a46-4840-9cdc-332c3cfea782/date/2025-05-04/teetime/451105c8-0087-4b70-9ff0-975edec7d926?rateId=327e1cbd-0252-4648-963a-a74f0f004c8c&holes=18&players=4
